date,port_ret,equity,market_ok,market_price,market_sma,market_entry_th,market_exit_th,n_holdings,gross_exposure,cash_weight,risk_on_portfolio
2013-10-14,0.0,1.0,0,1.0,,,,0,0.0,1.0,0
2013-10-15,0.0,1.0,0,1.0000706566606918,,,,0,0.0,1.0,0
2013-10-16,0.0,1.0,0,1.0000449629064145,,,,0,0.0,1.0,0
2013-10-17,0.0,1.0,0,1.0000929090045807,,,,0,0.0,1.0,0
2013-10-18,0.0,1.0,0,1.0001258090823677,,,,0,0.0,1.0,0
2013-10-21,0.0,1.0,0,1.0000967424173746,,,,0,0.0,1.0,0
2013-10-22,0.0,1.0,0,1.0000638646862967,,,,0,0.0,1.0,0
2013-10-23,0.0,1.0,0,1.0000160824482427,,,,0,0.0,1.0,0
2013-10-24,0.0,1.0,0,1.00004204205788,,,,0,0.0,1.0,0
2013-10-25,0.0,1.0,0,1.00004204205788,,,,0,0.0,1.0,0
2013-10-28,0.0,1.0,0,1.0001638350236646,,,,0,0.0,1.0,0
2013-10-29,0.0,1.0,0,1.000192706655006,,,,0,0.0,1.0,0
2013-10-30,0.0,1.0,0,1.0002286034610448,,,,0,0.0,1.0,0
2013-10-31,0.0,1.0,0,1.000103797752948,,,,1,0.0,1.0,0
2013-11-01,0.0,1.0,0,1.000231569222428,,,,1,0.0,1.0,0
2013-11-04,0.0,1.0,0,1.0002280033344806,,,,1,0.0,1.0,0
2013-11-05,0.0,1.0,0,1.0001780477774902,,,,1,0.0,1.0,0
2013-11-06,0.0,1.0,0,1.0000555894918732,,,,1,0.0,1.0,0
2013-11-07,0.0,1.0,0,1.000003990269309,,,,1,0.0,1.0,0
2013-11-08,0.0,1.0,0,0.9999035131622296,,,,1,0.0,1.0,0
2013-11-11,0.0,1.0,0,0.9999717737274699,,,,1,0.0,1.0,0
2013-11-12,0.0,1.0,0,1.0000766255439455,,,,1,0.0,1.0,0
2013-11-13,0.0,1.0,0,0.9999407216127842,,,,1,0.0,1.0,0
2013-11-14,0.0,1.0,0,0.999959563320276,,,,1,0.0,1.0,0
2013-11-15,0.0,1.0,0,1.0001022601876008,,,,1,0.0,1.0,0
2013-11-18,0.0,1.0,0,1.000146157373063,,,,1,0.0,1.0,0
2013-11-19,0.0,1.0,0,1.0002005845288275,,,,1,0.0,1.0,0
2013-11-20,0.0,1.0,0,1.0001323342546025,,,,1,0.0,1.0,0
2013-11-21,0.0,1.0,0,1.0000231852494454,,,,1,0.0,1.0,0
2013-11-22,0.0,1.0,0,1.0000603221770024,,,,1,0.0,1.0,0
2013-11-25,0.0,1.0,0,1.0001156454476374,,,,1,0.0,1.0,0
2013-11-26,0.0,1.0,0,1.0001667546408854,,,,1,0.0,1.0,0
2013-11-27,0.0,1.0,0,1.0001342080770785,,,,1,0.0,1.0,0
2013-11-28,0.0,1.0,0,1.0002215274448034,,,,1,0.0,1.0,0
2013-11-29,0.0,1.0,0,1.0002215274448034,,,,1,0.0,1.0,0
2013-12-02,0.0,1.0,0,1.0001248627781474,,,,1,0.0,1.0,0
2013-12-03,0.0,1.0,0,1.0001029884988089,,,,1,0.0,1.0,0
2013-12-04,0.0,1.0,0,0.9999968309455014,,,,1,0.0,1.0,0
2013-12-05,0.0,1.0,0,1.0000267056753118,,,,1,0.0,1.0,0
