strategy,rebalance_date,fund_asof_date,ticker,weight,regime,regime_score,growth_score,score_rank,top_n,good_regimes,sma_window,require_above_sma,market_gate,market_ok,market_price,market_sma,market_sma_window,market_sma_mult,market_entry_mult,market_exit_mult
S2,2017-03-31,,034230,0.03333333333333333,3.0,0.7345679012345679,38.599999999999994,28.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,036570,0.03333333333333333,4.0,0.9259259259259259,23.7,17.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,051600,0.03333333333333333,3.0,0.7777777777777778,64.5,66.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,066570,0.03333333333333333,4.0,0.9629629629629629,65.1,67.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,069620,0.03333333333333333,4.0,0.8765432098765432,60.599999999999994,58.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,096770,0.03333333333333333,3.0,0.691358024691358,70.5,74.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,097230,0.03333333333333333,3.0,0.7839506172839507,93.39999999999999,91.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,139480,0.03333333333333333,3.0,0.7222222222222222,44.9,36.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,192820,0.03333333333333333,3.0,0.7592592592592593,12.2,9.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,204320,0.03333333333333333,3.0,0.6296296296296297,39.8,30.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-04-28,,,0.0,,,,,30,"4,3",140,True,True,True,1.2147368335086715,1.1860840884391481,60,1.02,,
S2,2017-05-31,,000120,0.03333333333333333,3.0,0.6321428571428571,22.2,15.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,001040,0.03333333333333333,4.0,0.8035714285714286,43.599999999999994,35.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,002380,0.03333333333333333,3.0,0.7535714285714286,62.8,60.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,002790,0.03333333333333333,3.0,0.7035714285714286,26.2,21.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,004170,0.03333333333333333,3.0,0.775,42.3,32.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,005930,0.03333333333333333,3.0,0.725,63.2,61.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,006280,0.03333333333333333,3.0,0.75,46.699999999999996,38.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
