trade_id,ticker,name,entry_date,entry_price,exit_date,exit_price,holding_days,return,status
296,001120,LX인터내셔널,2020-06-30,15550.0,2020-07-31,15100.0,31,-0.02893890675241162,CLOSED
297,001440,대한전선,2020-06-30,5777.0,2020-07-31,6922.0,31,0.198199757659685,CLOSED
298,003230,삼양식품,2020-06-30,126000.0,2020-07-31,119000.0,31,-0.05555555555555558,CLOSED
299,011070,LG이노텍,2020-06-30,174500.0,2020-07-31,161000.0,31,-0.07736389684813749,CLOSED
300,017960,한국카본,2020-06-30,7510.0,2020-07-31,8340.0,31,0.11051930758988027,CLOSED
301,042660,한화오션,2020-06-30,24031.0,2020-07-31,21011.0,31,-0.12567100828097044,CLOSED
302,060370,LS마린솔루션,2020-06-30,3602.0,2020-07-31,4160.0,31,0.1549139367018324,CLOSED
303,064260,다날,2020-06-30,3625.0,2020-07-31,3810.0,31,0.05103448275862066,CLOSED
304,064350,현대로템,2020-06-30,15350.0,2020-07-31,18050.0,31,0.17589576547231278,CLOSED
305,097230,HJ중공업,2020-06-30,5820.0,2020-07-31,6610.0,31,0.13573883161512024,CLOSED
306,007660,이수페타시스,2020-07-31,3706.0,2020-08-31,4645.0,31,0.25337290879654617,CLOSED
307,009150,삼성전기,2020-07-31,140500.0,2020-08-31,124500.0,31,-0.11387900355871883,CLOSED
308,010140,삼성중공업,2020-06-30,5616.0,2020-08-31,4870.0,62,-0.13283475783475784,CLOSED
309,011200,HMM,2020-06-30,4685.0,2020-08-31,5760.0,62,0.22945570971184637,CLOSED
310,011790,SKC,2020-06-30,61000.0,2020-08-31,92500.0,62,0.5163934426229508,CLOSED
311,020150,롯데에너지머티리얼즈,2020-06-30,49600.0,2020-08-31,49850.0,62,0.00504032258064524,CLOSED
312,026960,동서,2020-07-31,21600.0,2020-08-31,25550.0,31,0.18287037037037046,CLOSED
313,034730,SK,2020-06-30,291000.0,2020-08-31,214000.0,62,-0.2646048109965635,CLOSED
314,065350,신성델타테크,2020-06-30,3520.0,2020-08-31,3360.0,62,-0.045454545454545414,CLOSED
315,079550,LIG넥스원,2020-06-30,30000.0,2020-08-31,31200.0,62,0.040000000000000036,CLOSED
316,082740,한화엔진,2020-06-30,3844.0,2020-08-31,3856.0,62,0.003121748178980255,CLOSED
317,084370,유진테크,2020-06-30,27300.0,2020-08-31,27250.0,62,-0.001831501831501825,CLOSED
318,096770,SK이노베이션,2020-06-30,128897.0,2020-08-31,142673.0,62,0.10687603280138402,CLOSED
319,000100,유한양행,2020-08-31,56174.0,2020-09-29,53828.0,29,-0.041763093245985705,CLOSED
