rebalance_date,side,buy_date,ticker,name,market,price,qty,amount,first_buy_date,sell_price,pnl
2017-05-17,BUY,2017-05-17,095660,네오위즈,KOSDAQ,13850.0,1,13850.0,2017-05-17,,
2017-05-17,SELL,2017-03-29,007310,오뚜기,KOSPI,,1,795000.0,2017-03-29,795000.0,33000.0
2017-05-17,SELL,2017-03-15,010950,S-Oil,KOSPI,,1,104500.0,2017-03-15,104500.0,10800.0
2017-05-17,SELL,2017-05-10,017800,현대엘리베이터,KOSPI,,1,41348.0,2017-05-10,41348.0,-2201.0
2017-05-17,SELL,2017-05-04,018670,SK가스,KOSPI,,1,117888.0,2017-05-04,117888.0,4384.0
2017-05-17,SELL,2017-04-05,066570,LG전자,KOSPI,,1,80000.0,2017-04-05,80000.0,12800.0
2017-05-17,SELL,2017-04-12,112610,씨에스윈드,KOSPI,,1,10581.0,2017-04-12,10581.0,1566.0
2017-05-17,SELL,2017-04-05,139480,이마트,KOSPI,,1,228500.0,2017-04-05,228500.0,16000.0
2017-05-17,SELL,2017-05-04,192820,코스맥스,KOSPI,,1,130372.0,2017-05-04,130372.0,-15683.0
2017-05-24,BUY,2017-05-24,010140,삼성중공업,KOSPI,9913.0,1,9913.0,2017-05-24,,
2017-05-24,BUY,2017-05-24,017800,현대엘리베이터,KOSPI,42482.0,1,42482.0,2017-05-24,,
2017-05-24,BUY,2017-05-24,018670,SK가스,KOSPI,119838.0,1,119838.0,2017-05-24,,
2017-05-24,BUY,2017-05-24,018880,한온시스템,KOSPI,9388.0,1,9388.0,2017-05-24,,
2017-05-24,SELL,2017-05-10,000120,CJ대한통운,KOSPI,,1,181000.0,2017-05-10,181000.0,2500.0
2017-05-24,SELL,2017-03-03,000990,DB하이텍,KOSPI,,1,20300.0,2017-03-03,20300.0,1950.0
2017-05-24,SELL,2017-03-03,005930,삼성전자,KOSPI,,1,44880.0,2017-03-03,44880.0,5260.0
2017-05-24,SELL,2017-05-17,064260,다날,KOSDAQ,,1,5060.0,2017-05-17,5060.0,-8.0
2017-05-31,BUY,2017-05-31,000120,CJ대한통운,KOSPI,192500.0,1,192500.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,002380,KCC,KOSPI,357762.0,1,357762.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,005930,삼성전자,KOSPI,44700.0,1,44700.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,007310,오뚜기,KOSPI,851000.0,1,851000.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,009830,한화솔루션,KOSPI,36038.0,1,36038.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,010950,S-Oil,KOSPI,103500.0,1,103500.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,047040,대우건설,KOSPI,7550.0,1,7550.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,064260,다날,KOSDAQ,5200.0,1,5200.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,084370,유진테크,KOSDAQ,18900.0,1,18900.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,112610,씨에스윈드,KOSPI,11151.0,1,11151.0,2017-05-31,,
2017-05-31,BUY,2017-05-31,139480,이마트,KOSPI,243000.0,1,243000.0,2017-05-31,,
2017-05-31,SELL,2017-03-29,000100,유한양행,KOSPI,,1,36798.0,2017-03-29,36798.0,3974.0
2017-05-31,SELL,2017-03-03,003230,삼양식품,KOSPI,,1,57300.0,2017-03-03,57300.0,3000.0
2017-05-31,SELL,2017-05-24,010140,삼성중공업,KOSPI,,1,10246.0,2017-05-24,10246.0,333.0
2017-05-31,SELL,2017-04-19,012450,한화에어로스페이스,KOSPI,,1,50881.0,2017-04-19,50881.0,764.0
2017-05-31,SELL,2017-05-24,017800,현대엘리베이터,KOSPI,,1,41615.0,2017-05-24,41615.0,-867.0
2017-05-31,SELL,2017-05-17,020560,아시아나항공,KOSPI,,1,24341.0,2017-05-17,24341.0,1193.0
2017-05-31,SELL,2017-05-04,034230,파라다이스,KOSPI,,1,15400.0,2017-05-04,15400.0,550.0
